.04.05.903755,NO USAR CODO PRE 90 1.1/2 ULTRATEMP,UND,"0,00","19,00","0,00"
00,ARTICULO UNICO,,"0,00","0,00","0,00"
00.00.000001,SERVICIO DE CORTE,UND,"0,00","19,00","0,00"
00.00.00002,SERVICIO DE FLETE,FLT,"0,00","0,00","0,00"
00.00.00003,SERVICIO DE TRANSPORTE,FLT,"0,00","19,00","0,00"
00.00.00004,INTERESES DE MORA,,"0,00","19,00","0,00"
00.00.00006,APORTE DE MERCADEO AGENDAS 2020,UND,"0,00","19,00","0,00"
00.00.00007,SERVICIO DE TRANSPORTE GRAVADO,FLET,"0,00","19,00","0,00"
00.00.00008,SERVICIO SEGURO DE TRANSPORTE,UND,"0,00","19,00","0,00"
00.00.00009,CASA CALLE 0 NUMERO 11E - 104 AVENIDA 11E Y 11AE DEL BRR QUINTA ORIENTAL DE CUCUTA ESCRITURA 1731 2017 DE 24/07/2017 NOTARIA 6,UND,"0,00","0,00","11,00"
00.00.00010,SERVICIO DE MAQUILA,KG,"0,00","19,00","0,00"
00.00.0005,BONIFICACION POR PUBLICIDAD,UND,"0,00","19,00","0,00"
00.00.0007,COMISION NEGOCIO INVERVAN-C3,,"0,00","19,00","0,00"
00.00.0008,SERVICIO DE MONTACARGA ,UND,"0,00","19,00","0,00"
00.00.0009,APOYO CAPACITACION CORPONOR REDES CUCUTA,UND,"0,00","19,00","0,00"
00.00.0010,MENOR VALOR COBRADO FAC:79628 CONSTRUCTORA AMBIENTE,UND,"0,00","19,00","0,00"
0001-NOACRE,MALLA ESTANDAR 4.5 MM NO ACTA COMO REFUERZO,UND,"0,00","19,00","0,00"
0002-NORC,MALLA STDAR 4MM NO APTA REFZ ESTRUCTURAL,UND,"0,00","19,00","0,00"
000551,TOC ARMADURA 6037 *39KG,UND,"0,00","19,00","256,00"
000551.1,TOC ARMADURA 6037 *29KG,UND,"0,00","19,00","17,00"
0006014,CUBIERTA COLOR 0.30 1048X6000MM BEIGE PP ARQ. RAL9002,UND,"0,00","19,00","1,00"
0007414,UND CUBIERTA ARQ COLOR AZUL 0.30 1048X6000MM PP RAL 5010,UND,"0,00","19,00","0,00"
0060000519,TUB CUAD 2.00 100X100X6000 MM SS GR50,UND,"0,00","19,00","0,00"
01.01000011,CUADRADO 9MM DIACO,UND,"0,00","19,00","0,00"
01.02.000010, VAR. CORR. A-60 X 12M: 1/4,UND,"0,00","19,00","10,00"
01.03.000007,VARILLA LISA 12MM X 6M,UND,"0,00","19,00","0,00"
01.03.000013,VARILLA LISA 15 MM  X 6 M,UND,"0,00","19,00","0,00"
01.03.000014,VARILLA LISA 7MM X 6M,UND,"0,00","19,00","0,00"
01.03.00008,"TUBO GALVANIZADO REDONDO DE 6"" X 7.11MM",UND,"0,00","19,00","0,00"
01.03.01.BE4000,TUBO BRIDA ENCHUFE DN 400 PN 10 L=0.25 MTS,UND,"0,00","19,00","0,00"
01.03.01.BL4000,TUBO BRIDA LISO DN 400 PN 10 L=0.5,UND,"0,00","19,00","0,00"
01.03.01.BR08K,KIT PARA JUNTAS CON BRIDAS AGUA DN=80 PN=10-40,UND,"0,00","19,00","0,00"
01.03.01.BR15K,KIT PARA JUNTAS CON BRIDA AGUA DN=150 PN=10-16,UND,"0,00","19,00","0,00"
01.03.01.CA08V7,VENTOSA TRIPLE FUNCION DN 80 PN 10,UND,"0,00","19,00","0,00"
01.03.01.CY15G,UNION UNIVERSAL DN 150,UND,"0,00","19,00","0,00"
01.03.01.CY15P,ADAPTADOR BRIDA UNIVERSAL DN 150 PN 10/16,UND,"0,00","19,00","0,00"
01.03.01.RD08C,VALVULA DE COMPUERTA EURO20 TIPO 23 DN 80 PN 10/16,UND,"0,00","19,00","0,00"
01.03.01.RD15C5,VALVULA DE COMPUERTA EURO20 TIPO 23 DN 150 PN,UND,"0,00","19,00","0,00"
01.03.01.SD15A6,TUBO STANDARD DN 150 K9,UND,"0,00","19,00","0,00"
01.03.01.SD15C,CODO 1/16 DN 150 STANDARD,UND,"0,00","19,00","0,00"
01.03.01.SD40A8,TUBO STANDARD DN 400 K7,UND,"0,00","19,00","0,00"
01.03.08.00009,TUBO GALVANIZADO CERRAM 2¨CAL.16X6MTS,UND,"0,00","19,00","0,00"
01.05.00001,VARILLA CUADRADA 5/8 X 6M,UND,"0,00","19,00","0,00"
01.05.00002,VARILLA CUADRADA 1/2 X 6 M,UND,"0,00","19,00","0,00"
01.05.00003,"VARILLA CUADRADA 1"" X 6M",UND,"0,00","19,00","0,00"
01.05.00006,VARILLA CUADRADA 7/8 X 6M,UND,"0,00","19,00","0,00"
01.05.00007,VARILLA CUADRADA 3/4 X 6M,UND,"0,00","19,00","0,00"
01.24.01.01,COMBO SANITARIO ACUACER MILANO,UND,"0,00","19,00","0,00"
01.24.02.2150,COMBO RIMINI BLANCO CERAMICA ITALIA,UND,"0,00","19,00","0,00"
01.24.03.301469,COMBO SANITARIO SHELBY BLANCO COMPLETO ALFA,UND,"0,00","19,00","32,00"
01.99.01.001,RODAMIENTO ALBA 6206MS NTN,UND,"0,00","19,00","36,00"
01.99.01.002,RODAMIENTOS ALBA 6008MS NTN,UND,"0,00","19,00","8,00"
01.99.01.003,RODAMIENTOS ALBA 6009MS NTN,UND,"0,00","19,00","4,00"
02.01.00005,HIERRO FIGURADO,KG,"0,00","19,00","0,00"
02.01.00006,HIERRO FIGURADO GRAFIL,KG,"0,00","19,00","17.330,00"
02.01.00010,BARRA CORRU  ENDE N 3 X 12M,KG,"0,00","19,00","35.268,00"
02.01.00011,BARRA CORRU (C) N 4 X 12M,KG,"0,00","19,00","0,00"
02.01.00012,BARRA CORRU (C) N 5 X 12M,KG,"0,00","19,00","0,00"
02.01.00013,BARRA CORRU N 6 X 12M,KG,"0,00","19,00","0,00"
02.01.00014,BARRA CORRU N 7 X 12M,KG,"0,00","19,00","0,00"
02.01.00015,BARRA CORRU N 8 X 12M,KG,"0,00","19,00","0,00"
02.01.00021,CHIPA LISA 8.5 MM,KG,"0,00","19,00","0,00"
02.01.00029,CHIPA 11MM,UND,"0,00","19,00","0,00"
02.01.00037,CHIPA LISA 5.0MM,KG,"0,00","19,00","0,00"
02.01.00038,CHIPA LISA 4.8MM,KG,"0,00","19,00","0,00"
02.01.00040,CHIPA LISA 3.8MM,KG,"0,00","19,00","0,00"
03.01.00001,TUBO 2 X 1 (0.90),UND,"0,00","19,00","1,00"
03.01.000010,TUBO 1 1/2,UND,"0,00","0,00","0,00"
03.01.00002,TUBO CUADRADO 1 1/2 X 1 1/2,UND,"0,00","19,00","350,00"
03.01.000020,TUBO TECT 4X2X6 MTS,UND,"0,00","19,00","0,00"
03.01.00003,TUBO CUADRADO 3/4 X 3/4,UND,"0,00","19,00","1.014,00"
03.01.00005,TUBO CUADRADO 4*4*2.90,UND,"0,00","19,00","0,00"
03.01.00006,TUBO 4 X 2 X 6MM,UND,"0,00","19,00","26,00"
03.01.00007,TUBO RECTANGULAR 3 X 1,UND,"0,00","19,00","237,00"
03.01.00012,TUBO CUADRADO 1 X 1,UND,"0,00","19,00","0,00"
03.01.00017,TUBO ALCANTARILLADO 4 ,UND,"0,00","0,00","0,00"
03.01.00021,TUBO METALICO CUAD ESTRUCTURAL 135X135 4MM 6MT,UND,"0,00","19,00","0,00"
03.01.00022,TUBO METALICO RECT ESTRUCTURAL 160X65 4MM  6MT,UND,"0,00","19,00","0,00"
03.01.00023,TUBO METALICO ESTRUCTURAL RECTO 120X60  2.5 MM,UND,"0,00","19,00","0,00"
03.01.00024,TUBO ESTRUCTURAL REDONDO 4  ESP 4MM,UND,"0,00","19,00","0,00"
03.01.01.905418,DIABLO ROJO,UND,"0,00","19,00","0,00"
03.01.01.905664,DIABLO ROJO - 12 UN,UND,"0,00","19,00","0,00"
03.01.60000NBS,TUBO PRESION NEGR. BISE 3 ESP 0.216,UND,"0,00","19,00","0,00"
03.01.6000NBS,TUBO PRESION NEGR. BISE 10 CAL 365,UND,"0,00","19,00","0,00"
03.01.6000PS,TUBO MUEBLE RECT 38*76 0.90 MM SIDELAN,UND,"0,00","19,00","200,00"
03.01.600NBS,TUBO PRESION NEGR. BISE 8 ESP.322,UND,"0,00","19,00","0,00"
03.01.60NBS,TUBO PRESION NEGR. BISE 6 CAL 280,UND,"0,00","19,00","0,00"
03001,YESO ESCAYOLA X 25 KG,UND,"0,00","19,00","908,00"
03371510,DESJARRETADERA 3715,UND,"0,00","5,00","0,00"
04.01.000010,ALAMBRE GALVANIZADO CALIBRE 12,KILO,"0,00","19,00","0,00"
